posted_date,job_title,company,salary,address,remain,url,min_salary,max_salary,salary_unit
2023-08-01,Experienced JavaScript Developer,BSS Group,"Tới 30,000,000 USD",Hà Nội: Nam Từ Liêm,Còn 45 ngày để ứng tuyển,https://www.topcv.vn/viec-lam/experienced-javascript-developer/1066974.html?ta_source=JobSearchList_LinkDetail,0.0,30000000.0,USD
2023-08-01,Nhân Viên IT Helpdesk,Công ty TNHH Công nghệ số Adamo,"10,000,000 - 14,000,000 USD",Hà Nội,Còn 12 ngày để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk/730339.html?ta_source=JobSearchList_LinkDetail,10000000.0,14000000.0,USD
